English Text,Chinese Translation
Accuracy Check Up,命中检定提升
<p>Increase Accuracy Check bonus by 1.</p>,<p>使命中检定加值提高 1。</p>
Air Absorption,空气吸收
,
Air Immunity,空气免疫
Air Resistance,空气抗性
Air Vulnerability,空气弱点
Air Weakness,空气弱势
<p>You suffer <strong>5 extra damage</strong> ...,<p>你将承受<strong>额外 5 点伤害</strong> …</p>
All Check Up,全检定提升
<p>Increase Accuracy and Magic Check bonus by ...</p>,<p>使命中与魔法检定的加值提升 …</p>
All Damage Up,全伤害提升
<p>Increase All Damage by 5.</p>,<p>使所有伤害提高 5 点。</p>
Bolt Absorption,闪电吸收
Bolt Immunity,闪电免疫
Bolt Resistance,闪电抗性
Bolt Vulnerability,闪电弱点
Bolt Weakness,闪电弱势
Custom NPC,自定义 NPC
Initiative,先攻值
Maximum HP,
Maximum MP,
Defense,
Magic Defense,
Check Bonuses,
Damage Bonuses,
Dark Absorption,
Dark Immunity,
Dark Resistance,
Dark Vulnerability,
Dark Weakness,
Dazed Immunity,
DEF/MDEF Up,
<p>Increase Defense and Magic Defense by 1.</p>,
DEF Up,
<p>Increase Defense by 1.</p>,
DEX Base Cap,
<p>Cap Current Dexterity Attribute to Base.</p>,
DEX Up,
<p>Increase Dexterity die size by 1.</p>,
Earth Absorption,
Earth Immunity,
Earth Resistance,
Earth Vulnerability,
Earth Weakness,
Enraged Immunity,
Fire Absorption,
Fire Immunity,
Fire Resistance,
Fire Vulnerability,
Fire Weakness,
Ice Absorption,
Ice Immunity,
Ice Resistance,
Ice Vulnerability,
Ice Weakness,
INS Base Cap,
<p>Cap Current Insight Attribute to Base.</p>,
INS Up,
<p>Increase Insight die size by 1.</p>,
Light Absorption,
Light Immunity,
Light Resistance,
Light Vulnerability,
Light Weakness,
Lone Wolf,
<p>You take <strong>2 turns per round</strong> and <strong>double</strong> your <strong>maximum HP.</strong></p>,
Magic Check Up,
<p>Increase Magic Check bonus by 1.</p>,
MDEF Up,
<p>Increase Magical Defense by 1.</p>,
Melee Damage Up,
<p>Increase Melee Damage by 5.</p>,
MIG Base Cap,
<p>Cap Current Mightt Attribute to Base.</p>,
MIG Up,
<p>Increase Might die size by 1.</p>,
Open Check Up,
<p>Increase Open Check bonus by 1.</p>,
Opportune Boost,
<p>The next check performed by you will receive a <strong>+4 bonus.</strong></p>,
Opposed Check Up,
<p>Increase Opposed Check bonus by 1.</p>,
Physical Absorption,
Physical Immunity,
Physical Resistance,
Physical Vulnerability,
Physical Weakness,
<p>You suffer <strong>5 extra damage</strong> from physical attacks.</p>,
Poison Absorption,
Poison Immunity,
Poison Resistance,
Poison Vulnerability,
Poison Weakness,
Poisoned Immunity,
Range Damage Up,
<p>Increase Ranged Damage by 5.</p>,
Shaken Immunity,
Slow Immunity,
Spell Damage Up,
<p>Increase Spell Damage by 5.</p>,
Weak Immunity,
WLP Base Cap,
<p>Cap Current Willpower Attribute to Base.</p>,
WLP Up,
<p>Increase Willpower die size by 1.</p>,
Zero Shield,
"<p>Until the <strong>start of your next turn</strong>, you <strong>reduce all damage taken by half.</strong> This is applied <strong>before affinities</strong>.</p>",
Absorption,
Accuracy Bonuses,
Affinities,
Attributes,
Immunity,
Improve Defenses,
NPC Bonuses,
Resistance,
Special,
Status Effect Immunities,
Vulnerability,
Weakness,
Brigandine,
Bronze Plate,
Combat Tunic,
Runic Plate,
Sage Robe,
Silk Shirt,
Steel Plate,
Travel Garb,
Armor,
Shields,
Weapons,
Bronze Shield,
Runic Shield,
Broadaxe,
Bronze Sword,
Chain Whip,
Crossbow,
Greatsword,
Heavy Spear,
Improvised (Melee),
<p>Breaks after the attack.</p>,
Improvised (Ranged),
Iron Hammer,
Iron Knuckle,
Katana,
Light Spear,
Pistol,
Rapier,
Shortbow,
Shuriken,
Staff,
Steel Dagger,
Tome,
Unarmed Strike,
<p>Automatically equipped in each empty hand slot.</p>,
Waraxe,
Ace of Cards,
